stm,pos,size,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loopR.thisRepN,loopR.thisTrialN,loopR.thisN,loopR.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,Hello.started,Hello.stopped,key_r.started,key_r.stopped,key_gr.started,key_gr.stopped,key_esc_r.keys,key_esc_r.rt,key_esc_r.started,key_esc_r.stopped,fix_right.started,fix_right.stopped,face_r.started,face_r.stopped,key_sel_r.keys,key_sel_r.rt,key_sel_r.started,key_sel_r.stopped,key_l.started,key_l.stopped,key_gl.started,key_gl.stopped,key_esc_l.keys,key_esc_l.rt,key_esc_l.started,key_esc_l.stopped,fix_left.started,fix_left.stopped,face_l.started,face_l.stopped,key_sel_l.keys,key_sel_l.rt,key_sel_l.started,key_sel_l.stopped,bye.started,bye.stopped,sbj,hndns,eye,age,edu,sex,date,expName,psychopyVersion,frameRate,
70.bmp,"(1.74, -3)","(3.49, 3.49)",0,0,0,0,0,10,10,97,,,,,,,,,,,,,,,265.1768289000029,None,265.6764524000464,265.7263903999701,p,7.065198699943721,265.6764524000464,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
50.bmp,"(-5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,11,11,75,,,,,,,,,,,,,,,272.7705565999495,None,273.269940600032,273.319785199943,p,0.9853584000375122,273.269940600032,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
80.bmp,"(-3.49, 0)","(3.49, 3.49)",0,0,0,0,0,12,12,108,,,,,,,,,,,,,,,274.285888500046,None,274.78528029995505,274.83504010003526,p,0.8498770999722183,274.78528029995505,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
20.bmp,"(5.25, 3.05)","(5.24, 5.24)",0,0,0,0,0,13,13,33,,,,,,,,,,,,,,,275.66791319998447,None,276.1674791999394,276.21754780004267,p,0.5864892000099644,276.1674791999394,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
40.bmp,"(1.74, -3)","(3.49, 3.49)",0,0,0,0,0,14,14,58,,,,,,,,,,,,,,,276.7836289999541,None,277.2830445000436,277.333273599972,p,0.7444942001020536,277.2830445000436,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
70.bmp,"(-1.74, -3)","(3.49, 3.49)",0,0,0,0,0,15,15,96,,,,,,,,,,,,,,,278.048672099947,None,278.5488802000182,278.5987725999439,p,0.9861864999402314,278.5488802000182,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
70.bmp,"(0, 0)","(2.18, 2.18)",0,0,0,0,0,16,16,91,,,,,,,,,,,,,,,279.5646422000136,None,280.0641467999667,280.1141212999355,p,2.217473999946378,280.0641467999667,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
20.bmp,"(-1.74, -3)","(3.49, 3.49)",0,0,0,0,0,17,17,31,,,,,,,,,,,,,,,282.3121710999403,None,282.8116254999768,282.8618206999963,p,0.7792333000106737,282.8116254999768,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
70.bmp,"(0, -6.11)","(5.24, 5.24)",0,0,0,0,0,18,18,102,,,,,,,,,,,,,,,283.6111212000251,None,284.11057509994134,284.1603950000135,p,1.3699353999691084,284.11057509994134,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
80.bmp,"(-5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,19,19,114,,,,,,,,,,,,,,,285.5091457000235,None,286.0085761999944,286.05845909996424,o,1.0687821001047269,286.0085761999944,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
50.bmp,"(1.74, 3)","(3.49, 3.49)",0,0,0,0,0,20,20,67,,,,,,,,,,,,,,,287.107421600027,None,287.60757049999665,287.6574295000173,p,0.8161904999287799,287.60757049999665,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
40.bmp,"(0, 0)","(2.18, 2.18)",0,0,0,0,0,21,21,52,,,,,,,,,,,,,,,288.45670999994036,None,288.95625029993244,289.0063263999764,o,1.055638900026679,288.95625029993244,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
10.bmp,"(5.25, 3.05)","(5.24, 5.24)",0,0,0,0,0,22,22,20,,,,,,,,,,,,,,,290.0388222000329,None,290.5382464999566,290.5881997999968,p,1.622420399915427,290.5382464999566,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
10.bmp,"(5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,23,23,25,,,,,,,,,,,,,,,292.18645409995224,None,292.6865678000031,292.7361364000244,p,1.2447707999963313,292.6865678000031,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
40.bmp,"(0, -6.11)","(5.24, 5.24)",0,0,0,0,0,24,24,63,,,,,,,,,,,,,,,293.9520346999634,None,294.4517559999367,294.5016398000298,p,0.8490043000783771,294.4517559999367,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
70.bmp,"(5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,25,25,103,,,,,,,,,,,,,,,295.3171464999905,None,295.81679129996337,295.86663189996034,p,1.8742533000186086,295.81679129996337,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
40.bmp,"(-5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,26,26,62,,,,,,,,,,,,,,,297.7149277999997,None,298.21457820001524,298.26438740000594,p,1.1698216999648139,298.21457820001524,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
0.bmp,"(0, 6.11)","(5.24, 5.24)",0,0,0,0,0,27,27,8,,,,,,,,,,,,,,,299.41357670002617,None,299.9133695999626,299.9630492000142,p,0.7737877999898046,299.9133695999626,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
10.bmp,"(-5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,28,28,23,,,,,,,,,,,,,,,300.71256220003124,None,301.21215000003576,301.2620097999461,p,1.6297056999756023,301.21215000003576,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
10.bmp,"(1.74, -3)","(3.49, 3.49)",0,0,0,0,0,29,29,19,,,,,,,,,,,,,,,302.8608593000099,None,303.360547499964,303.41047410003375,p,1.1325396000174806,303.360547499964,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
30.bmp,"(-3.49, 0)","(3.49, 3.49)",0,0,0,0,0,30,30,43,,,,,,,,,,,,,,,304.50914129999,None,305.00915749999695,305.05877030000556,p,0.9225317999953404,305.00915749999695,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
70.bmp,"(-3.49, 0)","(3.49, 3.49)",0,0,0,0,0,31,31,95,,,,,,,,,,,,,,,305.9581198999658,None,306.4577458000276,306.5074480000185,p,0.750272799981758,306.4577458000276,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
60.bmp,"(0, 6.11)","(5.24, 5.24)",0,0,0,0,0,32,32,86,,,,,,,,,,,,,,,307.24042960000224,None,307.73990149993915,307.7895736999344,p,1.027926200069487,307.73990149993915,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
30.bmp,"(3.49, 0)","(3.49, 3.49)",0,0,0,0,0,33,33,40,,,,,,,,,,,,,,,308.78918269998394,None,309.28877029998694,309.33857589995023,p,2.568968400009908,309.28877029998694,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
