1.8777 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
201.8677 	EXP 	Created bye = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05000000000000001, italic=False, languageStyle='Arabic', name='bye', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
201.8779 	EXP 	Hello: autoDraw = True
203.8654 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
203.8658 	EXP 	New trial (rep=0, index=0): None
203.9002 	EXP 	Hello: autoDraw = False
203.9002 	EXP 	Hello: autoDraw = False
203.9002 	EXP 	key_r: autoDraw = True
203.9002 	EXP 	key_gr: autoDraw = True
231.5166 	EXP 	Imported input.xlsx as conditions, 117 conditions, 3 params
231.5181 	EXP 	Created sequence: random, trialTypes=117, nReps=2, seed=None
231.5184 	EXP 	New trial (rep=0, index=0): {'stm': '50.bmp', 'pos': (0, -6.11), 'size': (5.24, 5.24)}
231.5202 	DATA 	Keypress: space
231.5214 	EXP 	key_r: autoDraw = False
231.5214 	EXP 	key_gr: autoDraw = False
231.5214 	EXP 	fix_right: autoDraw = True
232.0234 	EXP 	fix_right: autoDraw = False
232.0234 	EXP 	face_r: image = '50.bmp'
232.0234 	EXP 	face_r: autoDraw = True
232.0723 	EXP 	face_r: autoDraw = False
247.4444 	EXP 	New trial (rep=0, index=1): {'stm': '30.bmp', 'pos': (0, 6.11), 'size': (5.24, 5.24)}
247.4457 	DATA 	Keypress: p
247.4592 	EXP 	face_r: autoDraw = False
247.4592 	EXP 	fix_right: autoDraw = True
247.9584 	EXP 	fix_right: autoDraw = False
247.9584 	EXP 	fix_right: autoDraw = False
247.9584 	EXP 	face_r: image = '30.bmp'
247.9584 	EXP 	face_r: autoDraw = True
248.0082 	EXP 	face_r: autoDraw = False
249.7084 	EXP 	New trial (rep=0, index=2): {'stm': '50.bmp', 'pos': (-5.25, 3.05), 'size': (5.24, 5.24)}
249.7097 	DATA 	Keypress: p
249.7237 	EXP 	face_r: autoDraw = False
249.7237 	EXP 	fix_right: autoDraw = True
250.2235 	EXP 	fix_right: autoDraw = False
250.2235 	EXP 	fix_right: autoDraw = False
250.2235 	EXP 	face_r: image = '50.bmp'
250.2235 	EXP 	face_r: autoDraw = True
250.2731 	EXP 	face_r: autoDraw = False
251.4403 	EXP 	New trial (rep=0, index=3): {'stm': '60.bmp', 'pos': (-5.25, -3.05), 'size': (5.24, 5.24)}
251.4415 	DATA 	Keypress: p
251.4555 	EXP 	face_r: autoDraw = False
251.4555 	EXP 	fix_right: autoDraw = True
251.9551 	EXP 	fix_right: autoDraw = False
251.9551 	EXP 	fix_right: autoDraw = False
251.9551 	EXP 	face_r: image = '60.bmp'
251.9551 	EXP 	face_r: autoDraw = True
252.0049 	EXP 	face_r: autoDraw = False
253.2391 	EXP 	New trial (rep=0, index=4): {'stm': '10.bmp', 'pos': (0, 6.11), 'size': (5.24, 5.24)}
253.2406 	DATA 	Keypress: p
253.2539 	EXP 	face_r: autoDraw = False
253.2539 	EXP 	fix_right: autoDraw = True
253.7536 	EXP 	fix_right: autoDraw = False
253.7536 	EXP 	fix_right: autoDraw = False
253.7536 	EXP 	face_r: image = '10.bmp'
253.7536 	EXP 	face_r: autoDraw = True
253.8036 	EXP 	face_r: autoDraw = False
255.4202 	EXP 	New trial (rep=0, index=5): {'stm': '0.bmp', 'pos': (1.74, -3), 'size': (3.49, 3.49)}
255.4214 	DATA 	Keypress: p
255.4356 	EXP 	face_r: autoDraw = False
255.4356 	EXP 	fix_right: autoDraw = True
255.9348 	EXP 	fix_right: autoDraw = False
255.9348 	EXP 	fix_right: autoDraw = False
255.9348 	EXP 	face_r: image = '0.bmp'
255.9348 	EXP 	face_r: autoDraw = True
255.9846 	EXP 	face_r: autoDraw = False
257.1687 	EXP 	New trial (rep=0, index=6): {'stm': '20.bmp', 'pos': (-5.25, 3.05), 'size': (5.24, 5.24)}
257.1700 	DATA 	Keypress: p
257.1840 	EXP 	face_r: autoDraw = False
257.1840 	EXP 	fix_right: autoDraw = True
257.6835 	EXP 	fix_right: autoDraw = False
257.6835 	EXP 	fix_right: autoDraw = False
257.6835 	EXP 	face_r: image = '20.bmp'
257.6835 	EXP 	face_r: autoDraw = True
257.7333 	EXP 	face_r: autoDraw = False
260.1993 	EXP 	New trial (rep=0, index=7): {'stm': '60.bmp', 'pos': (5.25, -3.05), 'size': (5.24, 5.24)}
260.2006 	DATA 	Keypress: o
260.2146 	EXP 	face_r: autoDraw = False
260.2146 	EXP 	fix_right: autoDraw = True
260.7141 	EXP 	fix_right: autoDraw = False
260.7141 	EXP 	fix_right: autoDraw = False
260.7141 	EXP 	face_r: image = '60.bmp'
260.7141 	EXP 	face_r: autoDraw = True
260.7640 	EXP 	face_r: autoDraw = False
261.6983 	DATA 	Keypress: p
261.7161 	EXP 	New trial (rep=0, index=8): {'stm': '30.bmp', 'pos': (1.74, -3), 'size': (3.49, 3.49)}
261.7297 	EXP 	face_r: autoDraw = False
261.7297 	EXP 	fix_right: autoDraw = True
262.2295 	EXP 	fix_right: autoDraw = False
262.2295 	EXP 	fix_right: autoDraw = False
262.2295 	EXP 	face_r: image = '30.bmp'
262.2295 	EXP 	face_r: autoDraw = True
262.2793 	EXP 	face_r: autoDraw = False
263.3465 	EXP 	New trial (rep=0, index=9): {'stm': '10.bmp', 'pos': (-1.74, -3), 'size': (3.49, 3.49)}
263.3478 	DATA 	Keypress: p
263.3620 	EXP 	face_r: autoDraw = False
263.3620 	EXP 	fix_right: autoDraw = True
263.8615 	EXP 	fix_right: autoDraw = False
263.8615 	EXP 	fix_right: autoDraw = False
263.8615 	EXP 	face_r: image = '10.bmp'
263.8615 	EXP 	face_r: autoDraw = True
263.9113 	EXP 	face_r: autoDraw = False
265.1620 	EXP 	New trial (rep=0, index=10): {'stm': '70.bmp', 'pos': (1.74, -3), 'size': (3.49, 3.49)}
265.1635 	DATA 	Keypress: p
265.1768 	EXP 	face_r: autoDraw = False
265.1768 	EXP 	fix_right: autoDraw = True
265.6765 	EXP 	fix_right: autoDraw = False
265.6765 	EXP 	fix_right: autoDraw = False
265.6765 	EXP 	face_r: image = '70.bmp'
265.6765 	EXP 	face_r: autoDraw = True
265.7264 	EXP 	face_r: autoDraw = False
272.7550 	EXP 	New trial (rep=0, index=11): {'stm': '50.bmp', 'pos': (-5.25, -3.05), 'size': (5.24, 5.24)}
272.7563 	DATA 	Keypress: p
272.7706 	EXP 	face_r: autoDraw = False
272.7706 	EXP 	fix_right: autoDraw = True
273.2699 	EXP 	fix_right: autoDraw = False
273.2699 	EXP 	fix_right: autoDraw = False
273.2699 	EXP 	face_r: image = '50.bmp'
273.2699 	EXP 	face_r: autoDraw = True
273.3198 	EXP 	face_r: autoDraw = False
274.2706 	EXP 	New trial (rep=0, index=12): {'stm': '80.bmp', 'pos': (-3.49, 0), 'size': (3.49, 3.49)}
274.2718 	DATA 	Keypress: p
274.2859 	EXP 	face_r: autoDraw = False
274.2859 	EXP 	fix_right: autoDraw = True
274.7853 	EXP 	fix_right: autoDraw = False
274.7853 	EXP 	fix_right: autoDraw = False
274.7853 	EXP 	face_r: image = '80.bmp'
274.7853 	EXP 	face_r: autoDraw = True
274.8350 	EXP 	face_r: autoDraw = False
275.6357 	DATA 	Keypress: p
275.6527 	EXP 	New trial (rep=0, index=13): {'stm': '20.bmp', 'pos': (5.25, 3.05), 'size': (5.24, 5.24)}
275.6679 	EXP 	face_r: autoDraw = False
275.6679 	EXP 	fix_right: autoDraw = True
276.1675 	EXP 	fix_right: autoDraw = False
276.1675 	EXP 	fix_right: autoDraw = False
276.1675 	EXP 	face_r: image = '20.bmp'
276.1675 	EXP 	face_r: autoDraw = True
276.2175 	EXP 	face_r: autoDraw = False
276.7680 	EXP 	New trial (rep=0, index=14): {'stm': '40.bmp', 'pos': (1.74, -3), 'size': (3.49, 3.49)}
276.7692 	DATA 	Keypress: p
276.7836 	EXP 	face_r: autoDraw = False
276.7836 	EXP 	fix_right: autoDraw = True
277.2830 	EXP 	fix_right: autoDraw = False
277.2830 	EXP 	fix_right: autoDraw = False
277.2830 	EXP 	face_r: image = '40.bmp'
277.2830 	EXP 	face_r: autoDraw = True
277.3333 	EXP 	face_r: autoDraw = False
278.0340 	EXP 	New trial (rep=0, index=15): {'stm': '70.bmp', 'pos': (-1.74, -3), 'size': (3.49, 3.49)}
278.0357 	DATA 	Keypress: p
278.0487 	EXP 	face_r: autoDraw = False
278.0487 	EXP 	fix_right: autoDraw = True
278.5489 	EXP 	fix_right: autoDraw = False
278.5489 	EXP 	fix_right: autoDraw = False
278.5489 	EXP 	face_r: image = '70.bmp'
278.5489 	EXP 	face_r: autoDraw = True
278.5988 	EXP 	face_r: autoDraw = False
279.5493 	EXP 	New trial (rep=0, index=16): {'stm': '70.bmp', 'pos': (0, 0), 'size': (2.18, 2.18)}
279.5506 	DATA 	Keypress: p
279.5646 	EXP 	face_r: autoDraw = False
279.5646 	EXP 	fix_right: autoDraw = True
280.0641 	EXP 	fix_right: autoDraw = False
280.0641 	EXP 	fix_right: autoDraw = False
280.0641 	EXP 	face_r: image = '70.bmp'
280.0641 	EXP 	face_r: autoDraw = True
280.1141 	EXP 	face_r: autoDraw = False
282.2967 	EXP 	New trial (rep=0, index=17): {'stm': '20.bmp', 'pos': (-1.74, -3), 'size': (3.49, 3.49)}
282.2980 	DATA 	Keypress: p
282.3122 	EXP 	face_r: autoDraw = False
282.3122 	EXP 	fix_right: autoDraw = True
282.8116 	EXP 	fix_right: autoDraw = False
282.8116 	EXP 	fix_right: autoDraw = False
282.8116 	EXP 	face_r: image = '20.bmp'
282.8116 	EXP 	face_r: autoDraw = True
282.8618 	EXP 	face_r: autoDraw = False
283.5959 	EXP 	New trial (rep=0, index=18): {'stm': '70.bmp', 'pos': (0, -6.11), 'size': (5.24, 5.24)}
283.5975 	DATA 	Keypress: p
283.6111 	EXP 	face_r: autoDraw = False
283.6111 	EXP 	fix_right: autoDraw = True
284.1106 	EXP 	fix_right: autoDraw = False
284.1106 	EXP 	fix_right: autoDraw = False
284.1106 	EXP 	face_r: image = '70.bmp'
284.1106 	EXP 	face_r: autoDraw = True
284.1604 	EXP 	face_r: autoDraw = False
285.4939 	EXP 	New trial (rep=0, index=19): {'stm': '80.bmp', 'pos': (-5.25, -3.05), 'size': (5.24, 5.24)}
285.4953 	DATA 	Keypress: p
285.5091 	EXP 	face_r: autoDraw = False
285.5091 	EXP 	fix_right: autoDraw = True
286.0086 	EXP 	fix_right: autoDraw = False
286.0086 	EXP 	fix_right: autoDraw = False
286.0086 	EXP 	face_r: image = '80.bmp'
286.0086 	EXP 	face_r: autoDraw = True
286.0585 	EXP 	face_r: autoDraw = False
287.0928 	EXP 	New trial (rep=0, index=20): {'stm': '50.bmp', 'pos': (1.74, 3), 'size': (3.49, 3.49)}
287.0947 	DATA 	Keypress: o
287.1074 	EXP 	face_r: autoDraw = False
287.1074 	EXP 	fix_right: autoDraw = True
287.6076 	EXP 	fix_right: autoDraw = False
287.6076 	EXP 	fix_right: autoDraw = False
287.6076 	EXP 	face_r: image = '50.bmp'
287.6076 	EXP 	face_r: autoDraw = True
287.6574 	EXP 	face_r: autoDraw = False
288.4244 	DATA 	Keypress: p
288.4410 	EXP 	New trial (rep=0, index=21): {'stm': '40.bmp', 'pos': (0, 0), 'size': (2.18, 2.18)}
288.4567 	EXP 	face_r: autoDraw = False
288.4567 	EXP 	fix_right: autoDraw = True
288.9563 	EXP 	fix_right: autoDraw = False
288.9563 	EXP 	fix_right: autoDraw = False
288.9563 	EXP 	face_r: image = '40.bmp'
288.9563 	EXP 	face_r: autoDraw = True
289.0063 	EXP 	face_r: autoDraw = False
290.0238 	EXP 	New trial (rep=0, index=22): {'stm': '10.bmp', 'pos': (5.25, 3.05), 'size': (5.24, 5.24)}
290.0250 	DATA 	Keypress: o
290.0388 	EXP 	face_r: autoDraw = False
290.0388 	EXP 	fix_right: autoDraw = True
290.5382 	EXP 	fix_right: autoDraw = False
290.5382 	EXP 	fix_right: autoDraw = False
290.5382 	EXP 	face_r: image = '10.bmp'
290.5382 	EXP 	face_r: autoDraw = True
290.5882 	EXP 	face_r: autoDraw = False
292.1716 	EXP 	New trial (rep=0, index=23): {'stm': '10.bmp', 'pos': (5.25, -3.05), 'size': (5.24, 5.24)}
292.1733 	DATA 	Keypress: p
292.1865 	EXP 	face_r: autoDraw = False
292.1865 	EXP 	fix_right: autoDraw = True
292.6866 	EXP 	fix_right: autoDraw = False
292.6866 	EXP 	fix_right: autoDraw = False
292.6866 	EXP 	face_r: image = '10.bmp'
292.6866 	EXP 	face_r: autoDraw = True
292.7361 	EXP 	face_r: autoDraw = False
293.9368 	EXP 	New trial (rep=0, index=24): {'stm': '40.bmp', 'pos': (0, -6.11), 'size': (5.24, 5.24)}
293.9381 	DATA 	Keypress: p
293.9520 	EXP 	face_r: autoDraw = False
293.9520 	EXP 	fix_right: autoDraw = True
294.4518 	EXP 	fix_right: autoDraw = False
294.4518 	EXP 	fix_right: autoDraw = False
294.4518 	EXP 	face_r: image = '40.bmp'
294.4518 	EXP 	face_r: autoDraw = True
294.5016 	EXP 	face_r: autoDraw = False
295.3024 	EXP 	New trial (rep=0, index=25): {'stm': '70.bmp', 'pos': (5.25, -3.05), 'size': (5.24, 5.24)}
295.3037 	DATA 	Keypress: p
295.3171 	EXP 	face_r: autoDraw = False
295.3171 	EXP 	fix_right: autoDraw = True
295.8168 	EXP 	fix_right: autoDraw = False
295.8168 	EXP 	fix_right: autoDraw = False
295.8168 	EXP 	face_r: image = '70.bmp'
295.8168 	EXP 	face_r: autoDraw = True
295.8666 	EXP 	face_r: autoDraw = False
297.7002 	EXP 	New trial (rep=0, index=26): {'stm': '40.bmp', 'pos': (-5.25, -3.05), 'size': (5.24, 5.24)}
297.7015 	DATA 	Keypress: p
297.7149 	EXP 	face_r: autoDraw = False
297.7149 	EXP 	fix_right: autoDraw = True
298.2146 	EXP 	fix_right: autoDraw = False
298.2146 	EXP 	fix_right: autoDraw = False
298.2146 	EXP 	face_r: image = '40.bmp'
298.2146 	EXP 	face_r: autoDraw = True
298.2644 	EXP 	face_r: autoDraw = False
299.3986 	EXP 	New trial (rep=0, index=27): {'stm': '0.bmp', 'pos': (0, 6.11), 'size': (5.24, 5.24)}
299.3999 	DATA 	Keypress: p
299.4136 	EXP 	face_r: autoDraw = False
299.4136 	EXP 	fix_right: autoDraw = True
299.9134 	EXP 	fix_right: autoDraw = False
299.9134 	EXP 	fix_right: autoDraw = False
299.9134 	EXP 	face_r: image = '0.bmp'
299.9134 	EXP 	face_r: autoDraw = True
299.9630 	EXP 	face_r: autoDraw = False
300.6974 	EXP 	New trial (rep=0, index=28): {'stm': '10.bmp', 'pos': (-5.25, -3.05), 'size': (5.24, 5.24)}
300.6992 	DATA 	Keypress: p
300.7126 	EXP 	face_r: autoDraw = False
300.7126 	EXP 	fix_right: autoDraw = True
301.2122 	EXP 	fix_right: autoDraw = False
301.2122 	EXP 	fix_right: autoDraw = False
301.2122 	EXP 	face_r: image = '10.bmp'
301.2122 	EXP 	face_r: autoDraw = True
301.2620 	EXP 	face_r: autoDraw = False
302.8457 	EXP 	New trial (rep=0, index=29): {'stm': '10.bmp', 'pos': (1.74, -3), 'size': (3.49, 3.49)}
302.8470 	DATA 	Keypress: p
302.8609 	EXP 	face_r: autoDraw = False
302.8609 	EXP 	fix_right: autoDraw = True
303.3605 	EXP 	fix_right: autoDraw = False
303.3605 	EXP 	fix_right: autoDraw = False
303.3605 	EXP 	face_r: image = '10.bmp'
303.3605 	EXP 	face_r: autoDraw = True
303.4105 	EXP 	face_r: autoDraw = False
304.4947 	EXP 	New trial (rep=0, index=30): {'stm': '30.bmp', 'pos': (-3.49, 0), 'size': (3.49, 3.49)}
304.4959 	DATA 	Keypress: p
304.5091 	EXP 	face_r: autoDraw = False
304.5091 	EXP 	fix_right: autoDraw = True
305.0092 	EXP 	fix_right: autoDraw = False
305.0092 	EXP 	fix_right: autoDraw = False
305.0092 	EXP 	face_r: image = '30.bmp'
305.0092 	EXP 	face_r: autoDraw = True
305.0588 	EXP 	face_r: autoDraw = False
305.9428 	EXP 	New trial (rep=0, index=31): {'stm': '70.bmp', 'pos': (-3.49, 0), 'size': (3.49, 3.49)}
305.9441 	DATA 	Keypress: p
305.9581 	EXP 	face_r: autoDraw = False
305.9581 	EXP 	fix_right: autoDraw = True
