date,temperature,dewPoint,humidity,windSpeed,pressure,precipitation
2021-06-01,68.3,56.7,56.7,67.6,8.4,0.0
2021-06-02,71.7,58.3,58.3,63.7,9.3,0.0
2021-06-03,72.2,65.9,65.9,81.0,10.1,0.07
2021-06-04,73.8,66.2,66.2,79.0,7.6,0.03
2021-06-05,79.9,64.5,64.5,62.5,7.6,0.05
2021-06-06,81.4,67.6,67.6,64.4,8.0,0.0
2021-06-07,82.5,71.7,71.7,70.2,9.8,0.0
2021-06-08,82.7,71.9,71.9,70.0,8.5,0.0
2021-06-09,81.8,69.3,69.3,66.5,6.5,0.01
2021-06-10,70.9,63.6,63.6,71.0,7.7,0.0
2021-06-11,67.6,64.8,64.8,88.5,11.7,1.27
2021-06-12,70.2,60.9,60.9,73.7,8.2,1.52
2021-06-13,74.3,64.2,64.2,71.0,8.3,0.0
2021-06-14,76.3,64.6,64.6,68.1,11.4,0.0
2021-06-15,72.2,60.5,60.5,69.8,10.5,1.83
2021-06-16,73.2,48.0,48.0,42.5,11.4,0.0
2021-06-17,71.5,42.7,42.7,36.5,7.7,0.0
2021-06-18,74.0,54.8,54.8,52.1,9.0,0.0
2021-06-19,79.5,64.4,64.4,60.4,7.3,0.0
2021-06-20,80.3,70.4,70.4,72.7,9.1,0.17
2021-06-21,79.9,71.1,71.1,74.9,9.3,0.0
2021-06-22,69.7,62.8,62.8,79.6,8.4,0.05
2021-06-23,67.6,46.7,46.7,49.3,6.1,0.34
2021-06-24,70.9,51.7,51.7,51.9,5.0,0.0
2021-06-25,72.2,59.1,59.1,64.3,6.6,0.0
2021-06-26,77.0,69.9,69.9,79.3,9.9,0.14
2021-06-27,80.7,71.1,71.1,73.2,12.0,0.0
2021-06-28,83.2,71.7,71.7,69.0,10.8,0.0
2021-06-29,84.1,72.1,72.1,68.3,10.3,0.0
2021-06-30,84.1,69.5,69.5,62.6,8.8,0.0
