date,temperature,dewPoint,humidity,windSpeed,pressure,precipitation
2021-01-01,37.4,32.2,32.2,82.6,7.8,0.0
2021-01-02,43.8,38.5,38.5,83.4,7.0,0.81
2021-01-03,40.5,37.4,37.4,89.1,7.8,0.19
2021-01-04,40.4,34.3,34.3,79.9,5.9,0.09
2021-01-05,40.9,35.2,35.2,80.5,6.9,0.0
2021-01-06,40.7,29.1,29.1,63.7,13.3,0.03
2021-01-07,39.9,26.1,26.1,59.0,10.4,0.0
2021-01-08,35.7,24.2,24.2,63.1,8.6,0.0
2021-01-09,38.5,18.2,18.2,45.5,15.3,0.0
2021-01-10,40.9,23.1,23.1,50.7,7.6,0.0
2021-01-11,36.8,28.0,28.0,71.5,3.3,0.0
2021-01-12,37.7,28.2,28.2,71.3,3.2,0.0
2021-01-13,39.5,30.3,30.3,71.1,3.3,0.0
2021-01-14,42.0,30.3,30.3,67.5,2.0,0.0
2021-01-15,43.6,36.7,36.7,77.6,6.8,0.0
2021-01-16,42.7,31.9,31.9,67.3,9.1,0.17
2021-01-17,40.6,26.1,26.1,57.0,9.3,0.0
2021-01-18,40.1,23.5,23.5,53.8,8.7,0.0
2021-01-19,41.4,20.2,20.2,45.3,7.8,0.0
2021-01-20,39.0,21.9,21.9,51.8,11.0,0.0
2021-01-21,40.7,23.7,23.7,53.2,7.3,0.0
2021-01-22,41.5,23.4,23.4,51.6,9.8,0.0
2021-01-23,33.0,11.0,11.0,40.9,16.5,0.0
2021-01-24,31.8,12.6,12.6,45.8,6.5,0.0
2021-01-25,34.5,25.9,25.9,72.5,7.1,0.0
2021-01-26,34.7,32.9,32.9,93.3,5.0,0.21
2021-01-27,39.0,31.1,31.1,75.2,8.6,0.04
2021-01-28,32.8,13.8,13.8,46.3,20.3,0.0
2021-01-29,29.0,8.2,8.2,41.8,16.5,0.0
2021-01-30,31.3,12.1,12.1,45.7,7.1,0.0
2021-01-31,31.3,27.9,27.9,87.6,8.7,0.03
