date,temperature,dewPoint,humidity,windSpeed,pressure,precipitation
2021-10-01,64.0,49.6,49.6,61.0,4.1,0.0
2021-10-02,67.0,58.5,58.5,75.2,5.8,0.0
2021-10-03,69.6,63.3,63.3,81.4,5.8,0.0
2021-10-04,74.8,65.6,65.6,73.5,8.1,0.0
2021-10-05,73.4,66.7,66.7,79.8,7.5,0.0
2021-10-06,69.8,64.8,64.8,84.2,6.9,0.02
2021-10-07,70.3,61.0,61.0,73.5,3.7,0.0
2021-10-08,71.0,61.4,61.4,72.5,2.4,0.0
2021-10-09,69.4,60.5,60.5,73.8,9.8,0.0
2021-10-10,68.3,62.6,62.6,82.2,11.1,0.01
2021-10-11,67.6,60.1,60.1,76.9,8.9,0.03
2021-10-12,67.3,61.8,61.8,82.9,5.5,0.0
2021-10-13,69.2,63.6,63.6,82.7,3.1,0.06
2021-10-14,70.6,59.8,59.8,71.6,5.4,0.0
2021-10-15,71.0,62.6,62.6,75.3,5.5,0.0
2021-10-16,67.8,58.7,58.7,73.0,12.1,0.0
2021-10-17,58.4,39.7,39.7,51.1,10.0,0.3
2021-10-18,58.5,38.7,38.7,50.0,9.5,0.0
2021-10-19,61.1,41.7,41.7,51.3,6.0,0.0
2021-10-20,65.3,48.0,48.0,56.4,7.0,0.0
2021-10-21,64.3,52.9,52.9,68.1,6.2,0.0
2021-10-22,65.3,48.8,48.8,56.1,8.5,0.0
2021-10-23,60.8,47.4,47.4,62.0,6.6,0.0
2021-10-24,61.9,49.8,49.8,64.9,7.2,0.0
2021-10-25,66.4,60.2,60.2,81.4,11.3,0.0
2021-10-26,60.1,50.1,50.1,71.4,12.3,1.66
2021-10-27,59.6,46.5,46.5,62.4,14.6,0.0
2021-10-28,59.8,49.9,49.9,70.2,6.5,0.0
2021-10-29,59.7,55.7,55.7,86.9,13.9,0.11
2021-10-30,58.7,52.2,52.2,79.7,7.8,1.08
