date,temperature,dewPoint,humidity,windSpeed,pressure,precipitation
2021-12-01,45.4,32.4,32.4,63.2,4.6,0.0
2021-12-02,54.7,39.9,39.9,59.2,9.4,0.0
2021-12-03,51.1,31.1,31.1,47.0,11.1,0.0
2021-12-04,49.0,33.4,33.4,57.3,3.5,0.0
2021-12-05,46.1,29.0,29.0,53.5,3.6,0.0
2021-12-06,54.4,39.9,39.9,60.5,13.8,0.0
2021-12-07,39.5,15.2,15.2,37.7,8.3,0.0
2021-12-08,39.9,24.4,24.4,54.0,6.5,0.0
2021-12-09,38.3,22.1,22.1,52.9,7.3,0.0
2021-12-10,46.6,34.6,34.6,63.5,4.9,0.0
2021-12-11,59.1,51.8,51.8,77.8,15.0,0.01
2021-12-12,45.5,21.1,21.1,39.2,9.8,0.16
2021-12-13,41.5,27.9,27.9,60.4,5.1,0.0
2021-12-14,46.2,29.3,29.3,55.4,2.7,0.0
2021-12-15,46.7,37.3,37.3,70.6,3.5,0.0
2021-12-16,55.3,41.9,41.9,63.0,9.4,0.0
2021-12-17,59.1,39.1,39.1,49.8,7.8,0.0
2021-12-18,52.4,36.9,36.9,58.1,5.3,0.0
2021-12-19,47.5,34.3,34.3,61.9,15.1,0.0
2021-12-20,34.4,19.2,19.2,55.6,7.1,0.0
2021-12-21,37.1,28.4,28.4,72.5,4.1,0.0
2021-12-22,40.5,29.2,29.2,68.8,8.9,0.09
2021-12-23,35.8,17.3,17.3,47.6,7.7,0.0
2021-12-24,46.0,28.7,28.7,51.3,6.7,0.0
2021-12-25,57.6,44.0,44.0,61.3,9.4,0.0
2021-12-26,55.0,40.3,40.3,58.7,8.1,0.07
2021-12-27,41.3,31.0,31.0,67.0,6.5,0.0
2021-12-28,48.2,32.8,32.8,59.2,4.5,0.0
2021-12-29,50.2,40.5,40.5,70.1,5.0,0.0
2021-12-30,50.6,47.8,47.8,90.0,4.3,0.26
2021-12-31,53.1,49.7,49.7,88.3,5.4,0.01
