date,temperature,dewPoint,humidity,windSpeed,pressure,precipitation
2021-02-01,31.9,28.6,28.6,87.5,15.6,0.36
2021-02-02,34.1,28.3,28.3,80.2,15.6,0.17
2021-02-03,36.5,23.0,23.0,58.6,15.2,0.01
2021-02-04,38.7,14.9,14.9,39.6,7.4,0.0
2021-02-05,46.0,27.6,27.6,51.1,12.3,0.07
2021-02-06,42.7,23.2,23.2,47.6,7.9,0.0
2021-02-07,37.8,30.1,30.1,76.2,8.7,0.19
2021-02-08,31.1,12.5,12.5,46.8,8.3,0.3
2021-02-09,38.4,27.8,27.8,66.5,6.2,0.0
2021-02-10,36.1,30.3,30.3,80.8,6.0,0.0
2021-02-11,34.8,31.4,31.4,87.7,8.4,0.35
2021-02-12,31.0,20.5,20.5,65.4,7.9,0.02
2021-02-13,30.2,24.6,24.6,80.4,10.4,0.0
2021-02-14,32.8,28.8,28.8,85.4,8.0,0.45
2021-02-15,37.3,32.4,32.4,83.4,7.6,0.0
2021-02-16,37.9,33.4,33.4,85.5,7.3,0.97
2021-02-17,30.7,12.0,12.0,46.4,8.5,0.0
2021-02-18,29.3,24.6,24.6,83.4,9.7,0.09
2021-02-19,32.9,28.5,28.5,84.8,11.2,0.37
2021-02-20,29.8,11.5,11.5,47.1,14.5,0.04
2021-02-21,31.5,13.3,13.3,47.6,7.5,0.0
2021-02-22,34.5,29.6,29.6,83.0,8.9,0.0
2021-02-23,38.5,31.3,31.3,79.9,8.6,0.41
2021-02-24,47.2,31.8,31.8,58.3,8.2,0.0
2021-02-25,50.2,26.6,26.6,41.5,10.3,0.0
2021-02-26,43.0,28.1,28.1,59.5,7.8,0.0
2021-02-27,42.6,38.9,38.9,87.2,6.2,0.31
2021-02-28,46.0,43.9,43.9,92.7,3.4,0.12
