date,temperature,dewPoint,humidity,windSpeed,pressure,precipitation
2021-05-01,57.7,25.5,25.5,30.0,13.3,0.0
2021-05-02,68.4,45.3,45.3,44.6,11.0,0.0
2021-05-03,70.5,60.6,60.6,70.9,10.5,0.01
2021-05-04,71.3,64.0,64.0,78.7,8.8,0.06
2021-05-05,68.3,59.8,59.8,76.3,9.3,0.49
2021-05-06,58.1,36.8,36.8,45.7,9.6,0.04
2021-05-07,56.0,44.3,44.3,66.1,5.9,0.0
2021-05-08,52.7,39.1,39.1,62.7,10.1,0.08
2021-05-09,57.7,42.3,42.3,57.1,8.3,0.01
2021-05-10,61.9,43.5,43.5,51.9,13.3,0.0
2021-05-11,60.9,36.6,36.6,41.2,8.7,0.0
2021-05-12,58.0,33.0,33.0,39.4,10.1,0.0
2021-05-13,61.8,35.3,35.3,40.8,6.8,0.0
2021-05-14,62.6,38.6,38.6,43.5,4.5,0.0
2021-05-15,65.3,40.1,40.1,43.9,3.3,0.0
2021-05-16,61.8,46.8,46.8,59.0,7.2,0.0
2021-05-17,64.8,49.0,49.0,58.7,4.1,0.0
2021-05-18,67.6,49.4,49.4,54.4,6.2,0.0
2021-05-19,71.8,51.9,51.9,51.4,7.3,0.0
2021-05-20,74.6,54.1,54.1,52.5,6.6,0.0
2021-05-21,71.3,49.0,49.0,47.0,5.4,0.0
2021-05-22,77.0,54.5,54.5,47.4,8.0,0.0
2021-05-23,84.4,57.4,57.4,40.1,10.5,0.0
2021-05-24,67.0,57.1,57.1,71.6,9.5,0.12
2021-05-25,66.8,57.4,57.4,72.3,7.8,0.22
2021-05-26,76.1,67.0,67.0,74.5,9.9,0.0
2021-05-27,77.4,59.3,59.3,55.6,7.3,0.9
2021-05-28,69.3,59.9,59.9,73.3,10.8,0.0
2021-05-29,54.4,50.5,50.5,86.9,14.8,1.4
2021-05-30,53.5,46.4,46.4,77.4,12.8,0.44
2021-05-31,62.8,47.1,47.1,59.6,5.6,0.0
