stm,pos,size,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loopR.thisRepN,loopR.thisTrialN,loopR.thisN,loopR.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,Hello.started,Hello.stopped,key_r.started,key_r.stopped,key_gr.started,key_gr.stopped,key_esc_r.keys,key_esc_r.rt,key_esc_r.started,key_esc_r.stopped,fix_right.started,fix_right.stopped,face_r.started,face_r.stopped,key_sel_r.keys,key_sel_r.rt,key_sel_r.started,key_sel_r.stopped,key_l.started,key_l.stopped,key_gl.started,key_gl.stopped,key_esc_l.keys,key_esc_l.rt,key_esc_l.started,key_esc_l.stopped,fix_left.started,fix_left.stopped,face_l.started,face_l.stopped,key_sel_l.keys,key_sel_l.rt,key_sel_l.started,key_sel_l.stopped,bye.started,bye.stopped,sbj,hndns,eye,age,edu,date,expName,psychopyVersion,frameRate,uhnd
50.bmp,"(1.74, -3)","(3.49, 3.49)",0,0,0,0,0,98,98,71,,,,,,,,,,,,,,,284.3713459,None,284.8708644,284.9208172,p,0.616634,284.8708644,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
60.bmp,"(-3.49, 0)","(3.49, 3.49)",0,0,0,0,0,99,99,82,,,,,,,,,,,,,,,285.52027,None,286.0198181,286.0698023,p,0.6496471,286.0198181,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
20.bmp,"(0, 0)","(2.18, 2.18)",0,0,0,0,0,100,100,26,,,,,,,,,,,,,,,286.6858642,None,287.1854145,287.2352947,p,0.8316629,287.1854145,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
0.bmp,"(0, 0)","(2.18, 2.18)",0,0,0,0,0,101,101,0,,,,,,,,,,,,,,,288.0346188,None,288.5342702,288.5840983,p,0.6291099,288.5342702,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
70.bmp,"(-1.74, -3)","(3.49, 3.49)",0,0,0,0,0,102,102,96,,,,,,,,,,,,,,,289.1839436,None,289.6832523,289.7332034,p,0.6065322,289.6832523,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
80.bmp,"(1.74, -3)","(3.49, 3.49)",0,0,0,0,0,103,103,110,,,,,,,,,,,,,,,290.3161197,None,290.8157058,290.8654992,p,0.5370166,290.8157058,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
0.bmp,"(0, 6.11)","(5.24, 5.24)",0,0,0,0,0,104,104,8,,,,,,,,,,,,,,,291.3817028,None,291.881346,291.931213,p,0.4693875,291.881346,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
0.bmp,"(5.25, 3.05)","(5.24, 5.24)",0,0,0,0,0,105,105,7,,,,,,,,,,,,,,,292.3807691,None,292.8804418,292.9306424,p,0.5999037,292.8804418,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
50.bmp,"(1.74, 3)","(3.49, 3.49)",0,0,0,0,0,106,106,67,,,,,,,,,,,,,,,293.5135458,None,294.0130536,294.062686,p,0.4601785,294.0130536,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
40.bmp,"(0, -6.11)","(5.24, 5.24)",0,0,0,0,0,107,107,63,,,,,,,,,,,,,,,294.4956797,None,294.9952836,295.0452393,p,0.8183363,294.9952836,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
30.bmp,"(-1.74, -3)","(3.49, 3.49)",0,0,0,0,0,108,108,44,,,,,,,,,,,,,,,295.8446718,None,296.3440859,296.3939388,p,0.8052917,296.3440859,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
